code	en	et
2141	food production engineer	toiduainete tootmise insener
2654	performance lighting director	peavalgustaja
1324	warehouse manager	laojuht
5132	bartender	baarmen/baaridaam
4212	bingo caller	bingo mängujuht
1349	aviation communications and frequency coordination manager	lennunduse kommunikatsiooni ja raadiosageduste koordineerimise juht
8114	asphalt plant operator	asfalditehase töötaja
2512	cloud architect	pilvtehnoloogia arhitekt
7223	screw machine operator	keermelõikepingi operaator
7212	pipe welder	torustike keevitaja
4211	bank teller	pangateller
2310	business lecturer	ärikorralduse õppejõud
3222	maternity support worker	emadusnõuandla töötaja
5419	life guard	vetelpäästja
7543	engineered wood board grader	liimpuitplaatide kvaliteedi hindaja
7514	oilseed presser	õliseemnete pressija
9112	building cleaner	siseruumide koristaja
3115	pneumatic engineering technician	pneumosüsteemide tehnik
3114	medical device engineering technician	meditsiiniseadmete tehnik
2310	earth science lecturer	maateaduste õppejõud
3435	costume attendant	kostümeerija
4321	raw materials warehouse specialist	toorainelao tööline
3118	civil drafter	ehitusjoonestaja
2654	animation director	animatsioonirežissöör
2149	quality engineer	kvaliteediinsener
3341	call centre analyst	kõnekeskuse analüütik
8131	nitrator operator	nitreerimisseadme operaator
2166	web designer	veebidisainer
1211	financial manager	finantsjuht
8131	distillation operator	naftadestilleerija
8212	wave soldering machine operator	lainejootmismasina operaator
1321	leather production manager	nahatootmise juht
5414	security guard	turvatöötaja
2619	legal consultant	õigusnõunik
3240	animal embryo transfer technician	loomaloote siirdamise tehnik
3141	biology technician	biotehnik
5161	medium	meedium
4321	leather goods warehouse operator	nahktoodete laooperaator
3331	import export specialist in wood and construction materials	puidu ja ehitusmaterjalide impordi ja ekspordi spetsialist
6221	aquaculture cage technician	vesiviljeluse sumbatehnik
3331	import export specialist in agricultural raw materials, seeds and animal feeds	põllumajandustoorme, seemnete ja loomasööda impordi ja ekspordi spetsialist
2143	environmental mining engineer	kaevanduse keskkonnainsener
8160	sugar refinery operator	suhkrurafineerimise operaator
3112	construction quality manager	ehituskonstruktsioonide kvaliteedijuht
3119	utilities inspector	tootmisseadmete inspektor
3252	picture archiving and communication systems administrator	piltide arhiveerimise ja kommunikatsioonisüsteemide administraator
3240	equine dental technician	hobuslaste hambatehnik
3312	credit manager	krediidijuht
7322	printing textile technician	tekstiilitrüki tehnik
5413	prison officer	vanglaametnik
7234	bicycle mechanic	jalgrattamehaanik
7411	building electrician	ehituselektrik
3413	monk/nun	munk/nunn
3331	import export specialist in meat and meat products	liha ja lihatoodete impordi ja ekspordi spetsialist
2269	occupational therapist	tööteraapia spetsialist
1431	beauty salon manager	ilusalongi juhataja
2519	digital games tester	digimängude testija
3111	food analyst	toiduanalüütik
3151	fisheries engineering technician	kalalaeva mehaanik
5311	child care worker	lapsehoiuteenuse pakkuja
8152	tufting operator	taftingumasina operaator
3118	automotive engineering drafter	mootorsõidukiehitusjoonestaja
4226	front line medical receptionist	meditsiiniasutuse vastuvõtutöötaja
1345	university department head	ülikooli osakonna juhataja
2512	cloud engineer	pilvetehnoloogia insener
8160	cocoa press operator	kakaopressimisoperaator
8131	soap drier operator	seebihelbemasina operaator
2163	jewellery designer	ehtekunstnik
3432	set builder	lavakujunduse ehitaja
7511	slaughterer	loomade tapja ja rümbakäitleja
2133	pipeline environmental project manager	torujuhtme projekti keskkonnajuht
8151	man-made fiber spinner	keemiliste kiudude ketraja
1324	movie distributor	filmilevitaja
7115	window installer	aknapaigaldaja
2612	supreme court judge	riigikohtu kohtunik
2511	artificial intelligence engineer	intellektitehnika insener
2431	online marketer	online-turunduse spetsialist
7318	knitter	kuduja
7543	pulp grader	paberimassi hindaja
3116	chemical engineering technician	keemiatehnoloogia valdkonna laborant
3332	venue programmer	ürituste kavandaja
2149	wood technology engineer	puidutehnoloog
2152	optoelectronic engineer	optoelektroonika insener
3324	wholesale merchant in computer peripheral equipment and software	arvutite välisseadmete ja tarkvara hulgikaupleja
2330	religious education teacher at secondary school	üldhariduskooli vanema astme usundiõpetuse õpetaja
0310	intelligence communications interceptor	sideluure spetsialist
3432	visual merchandiser	väljapanekute dekoraator
7422	radio technician	raadiotehnik
7512	chocolatier	šokolaadimeister
4312	financial markets back office administrator	finantsturu tehingubüroo administraator
3521	sound editor	helitoimetaja
2221	advanced nurse practitioner	vastutav õde
3118	architectural drafter	arhitektuurijoonestaja
2166	stop-motion animator	stop-motion animaator
8111	driller	puurija
8160	coffee roaster	kohviubade röstija
7543	leather goods quality controller	nahktoodete kvaliteedi kontrollija
8171	paper pulp moulding operator	paberimassi vormimise operaator
9211	fruit and vegetable picker	puu- ja köögiviljade korjaja
5414	security guard supervisor	turvameeskonna ülem
2651	artistic painter	maalikunstnik
7313	jewellery engraver	väärisehete graveerija
8160	starch converting operator	tärklise teisendamise operaator
2622	information manager	teabejuht
1324	purchasing manager	ostujuht
3359	gaming inspector	hasartmänguinspektor
4411	library assistant	raamatukoguhoidja assistent
2320	food service vocational teacher	toitlustuseriala kutseõpetaja
7511	butcher	lihunik
3122	machinery assembly supervisor	seadmekooste töödejuhataja
1324	china and glassware distribution manager	portselan- ja klaastoodete turustusjuht
7543	clothing quality inspector	rõivaste kvaliteediinspektor
3118	mechanical engineering drafter	masinaehitusjoonestaja
2422	competition policy officer	konkurentsiametnik
5223	car leasing agent	autoliisingu agent
3115	marine surveyor	laevaõnnetuste kahjukontrollija
3355	police detective	politseiuurija
3422	sports official	spordiametnik
3114	computer hardware engineering technician	arvutiriistvara tehnik
2412	investment adviser	investeerimisnõustaja
9129	amusement park cleaner	lõbustuspargi koristaja
5249	rental service representative	üüri- ja renditeenuse müüja
2631	economic policy officer	majanduspoliitika ekspert
3423	sport therapist	sporditerapeut
3331	forwarding manager	ekspedeerimisjuht
5223	pet and pet food specialised seller	lemmikloomade ja lemmikloomatoitude müüja
9629	attraction operator	atraktsiooni abitööline
3331	import export specialist in fruit and vegetables	puu- ja köögivilja impordi ja ekspordi spetsialist
3354	licensing officer	litsentsiametnik
2320	occupational driving instructor	mootorsõidukijuhi eriala õpetaja
8131	soap maker	seebivalmistaja
2422	community development officer	kohaliku omavalitsuse arengu ametnik
8331	trolley bus driver	trollijuht
5223	audiology equipment specialised seller	audioloogiaseadmete müüja
8350	ordinary seaman	nooremmadrus
1420	trade regional manager	piirkondliku müügi juht
7316	glass engraver	klaasigraveerija
2310	social work practice educator	sotsiaaltöö praktikajuhendaja
8131	plodder operator	seebipressi operaator
7543	automated optical inspection operator	automatiseeritud optilise kontrolli operaator
7223	metal sawing machine operator	metallisaagimispingi operaator
1420	building materials shop manager	ehitusmaterjalide kaupluse juhataja
9331	bicycle courier	rattakuller
3324	wholesale merchant	hulgikaupleja
3339	tourism contract negotiator	turismilepingute läbirääkija
3331	import export specialist in hardware, plumbing and heating equipment	rauakaupade, veevarustus- ja kütteseadmete ning nende koosteosade impordi ja ekspordi spetsialist
2632	social work researcher	sotsiaaltöö uurija
1321	clothing operations manager	rõivatööstuse tootmisjuht
2132	fisheries adviser	kalandusnõunik
2164	mobility services manager	liikuvusteenuste juht
2519	ICT change and configuration manager	IKT muudatuste ja konfiguratsiooni juht
2635	gerontology social worker	eakate hoolekande sotsiaaltöötaja
3422	football coach	jalgpallitreener
8160	kettle tender	närimiskummi segaja
7231	vehicle maintenance attendant	mootorsõidukite hooldusmehaanik
2654	video and motion picture producer	video- ja kinofilmide produtsent
3311	stock trader	aktsiakaupleja
2341	Steiner school teacher	Waldorfi kooli õpetaja
7523	wood sander	puittoodete lihvija
8122	abrasive blasting operator	liivapritsi operaator
3119	tanning technician	nahaparkimistehnik
1420	fish and seafood shop manager	kala ja mereandide kaupluse juhataja
1219	business service manager	äriteenuste juht
7312	musical instrument technician	muusikariistade tehnik
3154	air traffic controller	lennujuht
2310	veterinary medicine lecturer	veterinaarmeditsiini õppejõud
8160	cellar operator	käärituskeldrioperaator
2163	model maker	mudelprojekteerija
9621	hotel porter	hotelliportjee
5249	vehicle rental agent	sõidukirendi agent
1330	telecommunications manager	telekommunikatsioonijuht
3115	heating, ventilation, air conditioning and refrigeration engineering technician	kütte-, ventilatsiooni-, külmutus- ja kliimaseadmete ehitustehnik
3355	criminal investigator	kriminaaluurija
2359	learning mentor	mentorõppejõud
2521	database integrator	andmebaaside integreerija
3331	import export specialist in beverages	jookide impordi ja ekspordi spetsialist
2269	music therapist	muusikaterapeut
2310	dentistry lecturer	hambaarstiteaduse õppejõud
7515	coffee taster	kohvidegusteerija
8157	laundry ironer	triikija
9333	airport baggage handler	lennujaama pagasiteenindaja
1212	volunteer manager	vabatahtlike juht
8155	leather production machine operator	nahatootmismasina operaator
2149	research engineer	uurimisinsener
2320	business administration vocational teacher	ärikorralduse eriala kutseõpetaja
2112	climatologist	klimatoloog
7126	bathroom fitter	vannitoasisustuse paigaldaja
8156	leather goods machine operator	nahktootemasinate operaator
1211	corporate treasurer	äriühingu varahaldur
2432	political campaign officer	poliitkampaania ametnik
8212	electrical equipment assembler	elektriseadmete koostaja
3132	incinerator operator	jäätmetöötlusahju operaator
3423	pilates teacher	Pilatese treener
3512	ICT technician	IKT-tehnik
3422	sports coach	treener
8112	stone planer	kivilõikemasina operaator
3324	wholesale merchant in hides, skins and leather products	toor- ja parknaha ning nahktoodete hulgikaupleja
7412	ski lift operator	suusatõstuki operaator
3312	mortgage broker	hüpoteeklaenu maakler
3331	import export specialist in flowers and plants	lillede ja taimede impordi ja ekspordi spetsialist
5230	lottery cashier	lotomüüja
2142	rail project engineer	raudteeprojekti insener
3112	construction safety manager	ehitusjärelevalve juht
1349	court administrator	kohtu haldusjuht
3118	rolling stock engineering drafter	veeremijoonestaja
5311	child day care worker	laste päevahoiu töötaja
2131	toxicologist	toksikoloog
2146	drilling engineer	puurtööde insener
2422	humanitarian advisor	humanitaarabi nõunik
7536	footwear CAD patternmaker	jalatsite CAD-modelleerija
5223	computer games, multimedia and software specialised seller	arvutimängude, multimeediaseadmete ja arvutitarkvara müüja
3112	sewerage maintenance technician	kanalisatsiooni hooldustehnik
2619	mediator	vahendaja
1111	government minister	minister
3122	production supervisor	tootmise töödejuhataja
2146	explosives engineer	puur- ja lõhketööde insener
7536	footwear 3D developer	jalatsite 3D-arendaja
3435	body artist	kehamaalija-tätoveerija
3113	battery maintenance technician	akutootmisseadmete hooldustehnik
8171	bleacher operator	tselluloosipleegituse operaator
2431	network marketer	võrkturunduse spetsialist
3119	metal additive manufacturing operator	metalli kihtlisandustootmise operaator
7316	decorative painter	dekoratiivmaalija
7123	ceiling installer	laepaigaldaja
5245	fuel station specialised seller	tanklamüüja
8113	derrickhand	puurtorni operaator
3112	corrosion technician	korrosioonitõrje pinnete tehnik
3119	product development engineering technician	tootearendustehnik
7534	marine upholsterer	veesõidukipolsterdaja
1221	destination manager	turismikorralduse juht
8111	underground heavy equipment operator	allmaakaevanduse raskeseadmete operaator
8342	grader operator	teehöövlijuht
3333	employment agent	töövahendaja
1324	import export manager in perfume and cosmetics	parfümeeria- ja kosmeetikatoodete impordi ja ekspordi juht
3343	scopist	kohtuprotokollide korrektor
2149	solar energy engineer	päikeseenergeetikainsener
3115	rolling stock inspector	veeremiinspektor
2651	drawing artist	joonistuskunstnik
7133	chimney sweep supervisor	korstnapühkimise töödejuhataja
1324	import export manager in coffee, tea, cocoa and spices	kohvi, tee, kakao ja vürtside impordi ja ekspordi juht
8172	planer thicknesser operator	paksushöövelpingi operaator
3122	optical instrument production supervisor	optikariistade tootmise töödejuhataja
8342	road roller operator	teerullijuht
7513	dairy products maker	piimatöötleja
2165	hydrographic surveyor	hüdrograaf
8181	auger press operator	kruvipressi operaator
3257	healthcare inspector	tervishoiuinspektor
7543	battery test technician	patareide ja akude testitehnik
9621	doorman/doorwoman	uksehoidja
2632	behavioural scientist	käitumisteadlane
3115	automotive engineering technician	mootorsõidukiehitustehnik
2164	land planner	maaplaneerija
8181	glass polisher	klaasipoleerimismasina operaator
1324	agricultural raw materials, seeds and animal feeds distribution manager	põllumajanduslike toorainete, seemnete ja loomatoidu turustusjuht
7521	wood drying kiln operator	puidukuivati operaator
1439	laundry and dry cleaning manager	pesumaja ja keemilise puhastuse juhataja
1211	budget manager	eelarvejuht
1349	airside safety manager	lennuala ohutusjuht
8332	cargo vehicle driver	kaubaauto juht
2652	music arranger	muusika arranžeerija
8111	dewatering technician	veekõrvaldustehnik
2523	ICT capacity planner	IKT-võimekuse planeerija
1321	metallurgical manager	metallitootmise juht
6130	farm manager	farmi juhataja
2320	air traffic instructor	lennuliikluskorralduse valdkonna koolitaja
3122	plastic and rubber products manufacturing supervisor	plast- ja kummitoodete valmistamise töödejuhataja
2514	ICT application configurator	IKT-rakenduste konfigureerija
2356	digital literacy teacher	digitaalse kirjaoskuse õpetaja
1346	credit union manager	rahandusühistu juht
3119	leather goods quality control laboratory technician	nahktoodete kvaliteedikontrollilabori tehnik
7126	drain technician	kanalisatsioonisüsteemide torulukksepp
2320	electricity and energy vocational teacher	elektrotehnika- ja energeetikaeriala kutseõpetaja
3230	herbal therapist	herbalist
1420	audio and video equipment shop manager	audio- ja videoseadmete kaupluse juhataja
5165	bus driving instructor	bussisõiduõpetaja
8113	well-digger	kaevupuurija
2355	photography teacher	fotograafiaõpetaja
2320	industrial arts vocational teacher	metalli- ja puidutöötlemise eriala kutseõpetaja
9312	civil engineering worker	rajatiste ehituse lihttööline
3153	helicopter pilot	helikopteripiloot
9129	swimming facility attendant	ujumisrajatise abitöötaja
2431	marketing consultant	turundusanalüütik
2431	advertising media buyer	reklaamiostja
2310	journalism lecturer	ajakirjanduse õppejõud
3134	gas processing plant control room operator	gaasitöötlusseadmete juhtimissüsteemi operaator
3131	offshore renewable energy plant operator	avamere taastuvenergiajaama käitaja
1420	jewellery and watches shop manager	juveeli- ja kellakaupluse juhataja
8342	dredge operator	süvendijuht
2146	liquid fuel engineer	vedelkütuste tehnoloog
3521	performance rental technician	ürituste rendiseadmete tehnik
2431	marketing assistant	turundusassistent
3431	photojournalist	fotoajakirjanik
8189	edge bander operator	spoonimismasina operaator
3324	wholesale merchant in pharmaceutical goods	farmaatsiatoodete hulgikaupleja
2152	language engineer	keeletehnoloog
1411	hospitality entertainment manager	majutusasutuse meelelahutusjuht
5142	pedicurist	pediküürija
7511	halal butcher	halal-liha lihunik
2166	animator	animaator
8151	yarn spinner	lõngaketraja
2310	communications lecturer	kommunikatsiooni õppejõud
7421	ATM repair technician	pangaautomaadi hooldustehnik
7411	electrician	elektrik
2120	gambling quality assurance engineer	hasartmängude testimismeetodite kavandaja
1324	wood and construction materials distribution manager	puidu ja ehitusmaterjalide turustusjuht
5142	make-up artist	grimeerija
3321	property insurance underwriter	varakindlustuse riskihindaja
2145	oenologist	önoloog
5131	sommelier	sommeljee
7323	bindery operator	köitmismasina operaator
2643	lexicographer	leksikograaf
1431	lottery manager	lotoettevõtte juht
4323	freight transport dispatcher	veokorraldaja
2269	chiropractor	kiropraktik
8181	drawing kiln operator	lehtklaasiahju operaator
5246	quick service restaurant team leader	kiirteenindusrestorani meeskonnajuht
2433	technical sales representative in hardware, plumbing and heating equipment	sanitaar- ja kütteseadmete ning -tehnika müügiesindaja
8122	surface grinding machine operator	tasalihvpingi operaator
8111	surface miner	avakaevanduse kaevur
8156	sole and heel operator	tallutaja
1342	healthcare institution manager	tervishoiuasutuse juht
8142	insulating tube winder	isoleertorude valmistaja
2149	materials engineer	materjaliinsener
3352	tax compliance officer	maksuametnik
0210	army corporal	sõjaväekapral
2269	anatomical pathology technician	patoloogi abiline
8142	plastic heat treatment equipment operator	termotöötlusseadmete operaator
5164	horse trainer	hobuste treener
7231	vehicle technician	mootorsõidukimehaanik
5223	second-hand goods specialised seller	kasutatud kaupade müüja
2431	membership manager	liikmehaldur
2635	social worker	sotsiaaltöötaja
5223	furniture specialised seller	mööblikaupluse müüja
1349	environmental protection manager	keskkonnakaitse juht
2511	ICT business analysis manager	IKT ärianalüüsi juht
3122	print studio supervisor	trükitööstuse töödejuhataja
8171	paper machine operator	paberimasina operaator
8122	cylindrical grinder operator	ümarlihvpingi operaator
2145	food technologist	toidutehnoloog
3324	non-vessel operating common carrier	kaubaveomaakler
2114	oceanographer	okeanograaf
3111	leather laboratory technician	parknahalabori tehnik
3311	securities trader	väärtpaberikaupleja
2635	youth offending team worker	alaealiste ja noorte õigusrikkujate sotsiaaltöötaja
3154	aeronautical information service officer	aeronavigatsiooniteabe teeninduse töötaja
2149	fire prevention and protection engineer	tuleohutus- ja tulekaitseinsener
1120	airport chief executive	lennujaama peadirektor
2641	book editor	raamatutoimetaja
1324	import export manager in office furniture	kontorimööbli impordi ja ekspordi juht
2635	benefits advice worker	sotsiaaltoetuste spetsialist
3322	electricity sales representative	elektrienergia müügiesindaja
2412	investor relations manager	investorsuhete juht
8151	winding machine operator	poolimismasina operaator
3412	family support worker	pere tugiisik
3112	fire protection technician	tulekaitsetehnik
2422	intelligence officer	luurespetsialist
5419	street warden	tänavapatrullija
2642	foreign correspondent	väliskorrespondent
8111	underground miner	allmaakaevur
2250	official veterinarian	ametlikult tunnustatud veterinaararst
3118	3D printing technician	3D-printeritehnik
3521	boom operator	suumikrofonioperaator
5312	early years teaching assistant	koolieelse lasteasutuse abiõpetaja
2152	electronics engineer	elektroonikainsener
2654	production designer	lavastuskunstnik
2144	agricultural engineer	põllumajandusinsener
2320	beauty vocational teacher	iluteeninduseriala kutseõpetaja
3353	social security officer	sotsiaalkaitseametnik
3412	residential childcare worker	erivajadustega laste tugiisik
2149	aviation ground systems engineer	lennunduse maapealsete süsteemide insener
5223	computer and accessories specialised seller	arvutite ja arvuti lisaseadmete müüja
3423	assistant outdoor animator	vabaõhutegevusjuhi assistent
5141	barber	habemeajaja
2144	packing machinery engineer	pakendusseadmete insener
3433	big data archive librarian	suurandmete arhivaar
2411	budget analyst	eelarveanalüütik
5249	rental service representative in water transport equipment	veetranspordivahendite renditeenuse müüja
2359	assistive technologist	tugitehnoloog
2310	architecture lecturer	arhitektuuriõppejõud
1324	road operations manager	maanteeveo juht
2320	travel and tourism vocational teacher	reisikorralduse ja turismi eriala kutseõpetaja
1222	advertising manager	reklaamijuht
2412	public funding advisor	avalike vahendite kasutamise nõustaja
3432	scenic painter	dekoratsioonimaalija
9612	recycling worker	ringlussevõtu tööline
3412	housing support worker	hoolekande tugiisik
2659	community artist	kohaliku omavalitsuse kunstitöötaja
2146	process metallurgist	metallurgiatehnoloog
2269	podiatry assistant	abipodiaater
7122	hardwood floor layer	parkett- ja puitpõranda paigaldaja
2654	casting director	castingu juht
1213	strategic planning manager	strateegiajuht
2152	sensor engineer	anduritehnika insener
2634	educational psychologist	hariduspsühholoog
8122	filing machine operator	viilimispingi operaator
7322	paper embossing press operator	paberireljeefimismasina operaator
2633	political scientist	politoloog
3412	social work assistant	sotsiaaltöö assistent
1312	aquaculture harvesting manager	vesiviljeluse valmistoodangu juht
3141	scientific laboratory technician	teaduslabori tehnik
3139	industrial robot controller	tööstusrobotite kontrollija
2269	prosthetic-orthotics technician	proteesi- ja ortoositehnik
7522	cooper	püttsepp
8142	injection moulding operator	survevalumasina operaator
9613	street sweeper	tänavakoristaja
3359	freight inspector	kaubasaadetiste inspektor
3412	residential home older adult care worker	erivajadustega vanurite tugiisik
2412	business valuer	ärihindaja
7544	pesticides sprayer	pestitsiidipihustaja
4214	debt collector	võlgade sissenõudja
2519	ICT accessibility tester	IKT-juurdepääsetavuse testija
3435	stage machinist	lavamasinist
2422	fiscal affairs policy officer	fiskaalpoliitika ekspert
3112	railway infrastructure inspector	raudteeinfrastruktuuri inspektor
4412	mail clerk	postitöötleja
7532	leather goods patternmaker	nahktoodete modelleerija
7533	sewing machinist	masinõmbleja
1321	textile operations manager	tekstiilitootmise protsessijuht
3113	electromechanical engineering technician	elektromehaanikavaldkonna tehnik
5223	fruit and vegetables specialised seller	puu- ja köögiviljakaupluse müüja
2421	logistics analyst	logistika analüütik
2642	vlogger	videoblogija
3214	audiology technician	audioloogiatehnik
2162	landscape architect	maastikuarhitekt
3153	airline transport pilot	liinipiloot
3153	commercial pilot	ametipiloot
1341	child care coordinator	huvijuht
3135	metal furnace operator	metallisulatusahju operaator
5223	textile specialised seller	tekstiiltoodete müüja
3423	survival instructor	ellujäämiskoolitaja
2654	producer	produtsent
8212	surface-mount technology machine operator	pindmontaažiseadmete operaator
1324	metals and metal ores distribution manager	metallide ja metallimaakide turustusjuht
2519	ICT system tester	IKT-süsteemide testija
2634	psychologist	psühholoog
2166	3D animator	3D-animaator
2433	technical sales representative in mining and construction machinery	kaevandus- ja ehitusmasinate tehnikamüügi esindaja
7211	mouldmaker	vormitegija
8159	canvas goods assembler	presenttoodete koostaja
7126	irrigation technician	niisutussüsteemide hooldaja
1221	bid manager	pakkumuste juht
3119	process engineering technician	protsessijuhtimistehnik
8156	pre-stitching machine operator	õmbluseelse protsessi masinate operaator
7233	pneumatic systems technician	pneumosüsteemide mehaanik
2262	industrial pharmacist	ravimitööstuse proviisor
1411	accommodation manager	majutusjuht
2141	industrial engineer	tööstusinsener
8153	leather goods stitching machine operator	nahktoodete masinõmbleja
1345	secondary school head teacher	üldhariduskooli vanema astme juht
1324	textiles, textile semi-finished and raw materials distribution manager	tekstiili ning selle pooltoodete ja toorainete turustusjuht
5131	head waiter/head waitress	ülemkelner
2310	fine arts instructor	kunstiõppeasutuse kunstiõpetaja
1213	business manager	ärijuht
1219	water treatment plant manager	veepuhastusjaama juht
5223	specialised seller	spetsiaalkaupluse müüja
4419	advertising assistant	reklaamiassistent
7321	prepress technician	trükiettevalmistuse tehnik
2113	textile chemist	tekstiilikeemik
2114	hydrologist	hüdroloog
2149	robotics engineer	robootikainsener
8160	cacao beans cleaner	kakaoubade puhastaja
0310	military engineer	sõjaväeinsener
4323	gas transmission system operator	gaasi ülekandesüsteemi haldur
2250	veterinary scientist	veterinaarteadlane
7531	dressmaker	kleidiõmbleja
2310	pharmacy lecturer	farmaatsiaõppejõud
3423	outdoor activities instructor	vabaajategevusinstruktor
3343	education administrator	haridusvaldkonna administraator
2643	lawyer linguist	keelejurist
2342	early years teacher	koolieelse lasteasutuse õpetaja
2131	botanist	botaanik
5141	hairdresser assistant	juuksuri assistent
5249	rental service representative in office machinery and equipment	kontorimasinate ja -seadmete renditeenuse müüja
4323	pipeline route manager	torutranspordi koordinaator
7113	stone engraver	kivigraveerija
8350	sailor	vanemmadrus
5223	eyewear and optical equipment specialised seller	prillide ja optikaseadmete müüja
2631	economic adviser	majandusnõustaja
2654	post-production supervisor	järeltootmise koordinaator
3331	international forwarding operations coordinator	rahvusvahelise ekspedeerimise koordinaator
2330	physics teacher secondary school	üldhariduskooli vanema astme füüsikaõpetaja
2635	social counsellor	sotsiaalnõustaja
2641	dramaturge	dramaturg
7213	sheet metal worker	plekksepp
6121	equine yard manager	hobusekasvanduse juhataja
2113	analytical chemist	analüütilise keemia spetsialist
1420	hardware and paint shop manager	rauakaupade ja värvide kaupluse juhataja
1420	meat and meat products shop manager	liha ja lihatoodete kaupluse juhataja
3342	civil registrar	rahvastikutoimingute registraator
3119	automation engineering technician	automaatikatehnik
2144	mechanical engineer	mehaanikainsener
5412	police officer	politseinik
8332	concrete pump operator	betooniauto juht
2111	astronomer	astronoom
3211	clinical perfusion scientist	perfusionist
2142	pipeline engineer	torujuhtmete insener
2514	embedded systems software developer	manussüsteemide tarkvara arendaja
2434	ICT business development manager	IKT äriarendusjuht
8121	metal annealer	metallilõõmutaja
3123	dismantling supervisor	lahtivõtmistööde juhataja
1213	health safety and environmental manager	tervise-, ohutus- ja keskkonnajuht
3341	call centre quality auditor	kõnekeskuse kvaliteedijuht
2431	eBusiness manager	e-äri juht
5153	verger	kirikuteener
2149	installation engineer	paigaldusinsener
3324	wholesale merchant in meat and meat products	liha ja lihatoodete hulgikaupleja
2151	electric power generation engineer	elektroenergeetika insener
3422	artistic coach	artistlikkuse treener
5111	steward/stewardess	stjuuard/stjuuardess
7522	antique furniture reproducer	antiikmööbli taastaja ja valmistaja
3513	aviation data communications manager	lennunduse andmeedastusjuht
2320	electronics and automation vocational teacher	elektroonika- ja automaatikaeriala kutseõpetaja
8219	firework assembler	ilutulestikukoostaja
1346	insurance agency manager	kindlustusseltsi juht
1312	aquaculture production manager	vesiviljeluse tootmisjuht
2144	powertrain engineer	jõuseadmete insener
2133	environmental programme coordinator	keskkonnaprogrammi koordinaator
7233	forge equipment technician	sepatööseadmete mehaanik
8219	plastic products assembler	plasttoodete koostaja
2310	physics lecturer	füüsikaõppejõud
8151	spinning machine operator	ketrusmasina operaator
2359	tutor	juhendaja
2411	tax advisor	maksunõustaja
2353	sign language teacher	viipekeeleõpetaja
7111	house builder	majaehitaja
3435	pyrotechnician	pürotehnik
3119	footwear production technician	jalatsitööstuse tootmistehnik
8183	cylinder filler	balloonitäitmise operaator
3435	scenery technician	stseenitehnik
8312	shunter	manöövri-vedurijuht
2351	educational researcher	haridusteadlane
3324	wholesale merchant in dairy products and edible oils	piimatoodete ja toiduõli hulgikaupleja
7522	furniture restorer	mööblirestauraator
2144	naval architect	laevaarhitekt
7541	construction commercial diver	allvee-ehituse tuuker
3422	lifeguard instructor	vetelpäästjate koolitaja
3339	intellectual property consultant	intellektuaalomandi konsultant
2641	speechwriter	kõnekirjutaja
5164	animal groomer	loomade hooldaja
3412	mental health support worker	vaimsete erivajadustega inimeste tugiisik
7231	coachbuilder	bussiehitaja
4120	secretary	sekretär
2310	university research assistant	ülikooli teadusassistent
6112	fruit production team leader	puuviljatootmise üksuse juht
7233	moulding machine technician	vormimismasina mehaanik
8131	chemical mixer	keemiliste ainete segaja
2330	music teacher secondary school	üldhariduskooli vanema astme muusikaõpetaja
1324	import export manager in wood and construction materials	puidu ja ehitusmaterjalide impordi ja ekspordi juht
7322	textile printer	tekstiilitrükkija
4221	tour organiser	reisijuht
3122	distillery supervisor	piiritusetehase töödejuhataja
1111	member of parliament	parlamendiliige
2250	animal physiotherapist	veterinaarfüsioterapeut
8141	rubber cutting machine tender	kummilõikemasina operaator
7223	computer numerical control machine operator	arvprogrammjuhtimisega seadme operaator
3121	mine supervisor	kaevanduse töödejuhataja
4311	sales support assistant	müügiassistent
8181	kiln firer	põletusahju operaator
1112	secretary general	peasekretär
1439	garage manager	autoremonditöökoja juhataja
1324	import export manager in metals and metal ores	metallide ja metallimaakide impordi ja ekspordi juht
3343	project support officer	projektitoe ametnik
1344	public housing manager	sotsiaalmajutuse juht
7412	electrical mechanic	elektromehaanik
2423	career guidance advisor	karjäärinõustaja
8152	weaving machine supervisor	kangakudumismasina järelevaataja
7223	oxy fuel burning machine operator	gaaslõikusmasina operaator
8332	tow truck driver	puksiirautojuht
8113	tool pusher	puurplatvormi töödejuhataja
3344	medical transcriptionist	terviseandmete transkribeerija
2422	legal policy officer	õiguspoliitika spetsialist
2635	drug and alcohol addiction counsellor	sõltuvusnõustaja
8160	baking operator	küpsetusliinioperaator
7411	domestic electrician	olmeelektrik
5142	make-up and hair designer	soengu- ja grimmikunstnik
7411	industrial electrician	tööstuselektrik
3411	court bailiff	kohtukordnik
7317	toymaker	mänguasjameister
3312	bank account manager	pangakontohaldur
8172	debarker operator	laasimismasina operaator
2411	financial controller	finantskontroller
7233	marine fitter	merendusseadmete paigaldaja
7213	boilermaker	katelsepp
5329	phlebotomist	vereproovide võtja
2330	secondary school teacher	üldhariduskoolide vanema astme õpetaja
2269	nuclear medicine radiographer	nukleaarmeditsiini valdkonna radioloogiatehnik
3351	customs officer	tolliametnik
2633	genealogist	genealoog
2519	ICT usability tester	IKT kasutatavuse testija
7314	pottery and porcelain caster	keraamikatööstuse vormivalaja
8342	road construction worker	teetööline
1420	pet and pet food shop manager	lemmikloomade ja lemmikloomatoitude kaupluse juhataja
7516	leaf sorter	lehtede sorteerija
