ID	en	et	zh	bp	ru	de	jp	it	es	uk	idn	ar	fr	sr
fb54	To share the app on social media, use this public link	Sotsiaalmeedias jagamiseks kasutage seda avalikku linki	在社交媒体上分享此应用，请使用此公开链接	Para compartilhar o aplicativo nas redes sociais, use este link público	Чтобы поделиться приложением в социальных сетях, используйте эту публичную ссылку	Um den Fragebogen in sozialen Medien zu teilen, verwenden Sie diesen öffentlichen Link	このアプリをソーシャルメディアで共有する際は、次の公開リンクを使用してください。	Per condividere l'app sui social media, utilizza questo link pubblico	Para compartir la app en redes sociales, usa este enlace público	Щоб поділитися застосунком через соцмережі, скористайтеся цим загальнодоступним посиланням	Untuk membagikan aplikasi ini di sosial media, gunakan tautan publik ini	لمشاركة التطبيق على وسائل التواصل الاجتماعي، استخدم هذا الرابط العام	Pour partager l'application sur les réseaux sociaux, utilisez ce lien public.	Da biste podelili aplikaciju na društvenim mrežama, koristite ovaj javni link.
fb55	Copy public link	Kopeerige avalik link	复制公开链接	Copiar link público	Скопировать публичную ссылку	Öffentlichen Link kopieren	公開リンクをコピー	Copia link pubblico	Copiar enlace público	Копіювати загальнодоступне посилання	Salin tautan publik	نسخ الرابط العام	Copiez ce lien public.	Kopirajte javni link
fb56	The private link allows us to connect your responses, even though you both remain anonymous. This is useful for scientific work to see how friends or family members share personality traits or occupational choices. The private link will not be included in the public database.	Privaatne link aitab meile teie vastused kokku viia, ehkki jääte mõlemad anonüümseks. See on kasulik teadustöös, et hinnata sugulaste ja sõprade sarnasust isiksuseomaduste ja ametivaliku osas. Privaatne link ei salvestu avalikku andmebaasi.	私密链接也是匿名的。收集相关数据会帮助我们的科学研究 ：朋友和家人如何互相影响对方的性格和工作选择。私密链接不会包含在公共数据库中。	O link privado nos permite conectar suas respostas, mesmo que ambos permaneçam anônimos. Isso é útil para pesquisas científicas que investigam como amigos ou familiares compartilham traços de personalidade ou escolhas ocupacionais. O link privado não será incluído no banco de dados público.	Личная ссылка позволяет нам связать Ваши ответы, при этом оба остаются анонимными. Это полезно для научной работы, чтобы понять, насколько друзья или члены семьи разделяют черты личности или профессиональные предпочтения. Личная ссылка не будет включена в публичную базу данных.	Der private Link ermöglicht es uns, Ihre Antworten zu verbinden, auch wenn Sie beide anonym bleiben. Dies ist nützlich für die wissenschaftliche Arbeit, um zu sehen, wie Freunde oder Familienmitglieder Persönlichkeitsmerkmale oder Berufsentscheidungen teilen. Der private Link wird nicht in die öffentliche Datenbank aufgenommen.	プライベートリンクは、匿名のままでも、あなたの回答を他の回答と繋ぐことができます。これは、友人や家族の性格的特徴や職業選択の共通点を調べる科学的研究に役立ちます。	Il link privato ci consente di connettere le vostre risposte, anche se rimarrete entrambi anonimi. Questo è utile ai fini di ricerca scientifica per vedere come amici o membri della famiglia condividono tratti della personalità o scelte professionali. Il link privato non sarà incluso nel database pubblico.	El enlace privado nos permite conectar tus respuestas con otras, aunque ambos permanezcan anónimos. Esto es útil para investigaciones científicas que exploran cómo amigos o familiares comparten rasgos de personalidad o elecciones profesionales. El enlace privado no será incluido en la base de datos pública.	Приватне посилання дозволяє нам поєднувати ваші відповіді, хоча особистість вас обох при цьому не розкривається. З точки зору наукової роботи корисно побачити, які спільні риси є в друзів або членів родини, або наскільки схожий їх вибір професії. Приватне посилання не буде включене до загальнодоступної бази даних.	Tautan pribadi ini membiarkan kami menyambungkan jawaban-jawaban Anda, meskipun kalian bersifat anonim. Hal ini berguna bagi pekerjaan ilmiah untuk mendeteksi sejauh mana teman atau anggota keluarga memiliki karakteristik kepribadian atau pekerjaan yang mirip. Tautan pribadi tidak akan dimasukkan pada database publik.	يسمح الرابط الخاص بربط إجاباتك، مع الحفاظ على خصوصيتك. هذا مفيد للأبحاث العلمية لمعرفة كيف يشارك الأصدقاء أو أفراد العائلة سمات شخصية أو خيارات وظيفية. لن يتم تضمين الرابط الخاص في قاعدة البيانات العامة.	Le lien privé nous permet de relier vos réponses, même si vous restez tous les deux anonymes. Ce lien est utile dans le cadre de travaux scientifiques visant à déterminer si des ami·es ou des membres de la famille partagent des traits de personnalité ou des choix professionnels. Le lien privé ne sera pas inclus dans la base de données publique.	Privatni link nam omogućava da povežemo Vaše odgovore sa odgovorima Vaših bliskih osoba, iako oboje ostajete anonimni. Ovo je korisno za naučna istraživanja kako bi se videlo u kojoj meri su prijatelji ili članovi porodice slični po osobinama ličnosti ili izboru zanimanja. Privatni link neće biti uključen u javnu bazu podataka.
yes	Yes	Jah	是	Sim	Да	Ja	はい	Sì	Sí	Так	Ya	نعم	Oui	Da
no	No	Ei	否	Não	Нет	Nein	いいえ	No	No	Ні	Tidak	لا	Non	Ne
sel	Select...	Valige …	请选择...	Selecionar...	Выбрать...	Auswählen...	お選びください…	Seleziona…	Seleccionar...	Обрати…	Pilih...	اختر...	Sélectionnez…	Izaberite...
comp21	Parent	Vanem	父母	Pai/Mãe	Родитель	Elternteil	両親	Genitore	Padre o madre	Один з батьків	Orangtua	والد/والدة	Parent	Roditelj
comp22	Child	Laps	子女	Filho(a)	Ребенок	Kind	子ども	Figlio	Hijo/a	Дитина	Anak	طفل	Enfant	Dete
comp23	Full sibling	Täisõde või täisvend	亲兄弟姐妹	Irmão/Irmã	Родной брат или сестра	Geschwister	兄弟姉妹	Fratello/sorella consanguineo/a	Hermano/a	Рідний брат або сестра	Saudara kandung	شقيق أو شقيقة	Frères et sœurs	Brat ili sestra
comp24	Grandparent or grandchild	Vanavanem või lapselaps	（外）祖父母或（外）孙子（外）孙女	Avô/Avó ou neto(a)	Бабушка, дедушка или внук/внучка	Großelternteil oder Enkelkind	祖父母または孫	Nonno/a o nipote	Abuelo/a o nieto/a	Бабуся/дідусь або онука/онук	Kakek/Nenek atau cucu	جد أو حفيد	Grand-parent ou petit-enfant	Baba/deda ili unuk/a
comp25	Other relative	Muu sugulane	其他亲戚	Outro parente	Другой родственник	Sonstige Verwandte	その他の親族	Altro parente	Otro familiar	Інший родич	Anggota keluarga lainnya	قريب آخر	Autre proche	Drugi rođak/a
comp26	Partner	Partner	伴侣	Parceiro(a)	Партнер	Partner	パートナー	Partner	Pareja	Партнер(ка)	Pasangan	شريك	Partenaire	Partner/ka
comp27	Friend	Sõber	朋友	Amigo(a)	Друг	Freund	友人	Amico/a	Amigo/a	Друг (подруга)	Teman	صديق	Ami·e	Prijatelj/ica
comp28	Colleague	Kolleeg	同事	Colega	Коллега	Kollege	同僚	Collega	Colega	Колега	Rekan kerja	زميل	Collègue	Kolega/koleginica
comp29	Other	Muu	其他	Outro	Другое	Andere	その他	Altro	Otro	Інший варіант	Lainnya	آخر	Autre proche	Drugi
fem	Female	Naine	女性	Feminino	Женский	Weiblich	女性	Femmina	Mujer	Жінка	Perempuan	أنثى	Femme	Ženski
male	Male	Mees	男性	Masculino	Мужской	Männlich	男性	Maschio	Hombre	Чоловік	Laki-laki	ذكر	Homme	Muški
type	Start typing...	Alustage trükkimist …	请开始输入……	Comece a digitar...	Начните вводить...	Beginnen Sie mit der Eingabe...	入力を開始します…	Inizia a digitare…	Escribe aquí…	Почніть вводити текст…	Mulai mengetik...	ابدأ الكتابة...	Commencez à saisir…	Počnite da kucate...
subm	Submit	Esitage	提交	Enviar	Отправить	Senden	送信	Invia	Enviar	Надіслати	Kirim	إرسال	Soumettre	Prosledite
retake	Retake the survey	Vastake küsimustele uuesti	重做问卷	Refazer o questionário	Пройти опрос заново	Wiederholen Sie den Fragebogen	もう一度受け直す	Ricomincia il sondaggio	Repetir el cuestionario	Пройти опитування повторно	Ulangi survei	إعادة إجراء الاستبيان	Repasser le questionnaire	Ponovo popunite upitnik
next	Next	Edasi	下一步	Próximo	Далее	Weiter	次へ	Avanti	Siguiente	Далі	Berikutnya	التالي	Suivant	Dalje
cont	Continue	Jätkake	继续	Continuar	Продолжить	Fortsetzen	続ける	Continua	Continuar	Продовжити	Selanjutnya	متابعة	Continuer	Nastavite
int8	How many years have you been doing your current job?	Mitu aastat olete oma praegust tööd teinud?	您从事当前工作多少年了？	Há quanto tempo você trabalha no emprego que esta atualmente?	Сколько лет вы работаете на текущей должности?	Wie viele Jahre sind Sie schon in Ihrem aktuellen Beruf?	現在のご職業を初めて何年目ですか。	Da quanti anni svolgi il tuo attuale lavoro?	¿Cuántos años llevas en tu trabajo actual?	Скільки років ви займаєте свою теперішню посаду?	Berapa tahun Anda melakukan pekerjaan Anda saat ini?	كم عدد السنوات التي قضيتها في وظيفتك الحالية؟	Depuis combien d'années exercez-vous votre métier actuel?	Koliko godina radite svoj trenutni posao?
int81	Less than a year	Vähem kui aasta	少于一年	Menos de um ano	Менее года	Weniger als ein Jahr	1年未満	Meno di un anno	Menos de un año	Менше одного року	Kurang dari setahun	أقل من سنة	Moins de 1 an	Manje od godinu
int82	One to two years	Üks kuni kaks aastat	一到两年	Entre um e dois anos	От одного до двух лет	Ein bis zwei Jahre	1~2年	Da uno a due anni	De uno a dos años	Від одного до двох років	Satu hingga dua tahun	من سنة إلى سنتين	De 1 à 2 ans	Jednu do dve godine
int83	Up to five years	Kuni viis aastat	二到五年	Até cinco anos	До пяти лет	Bis zu fünf Jahre	5年以下	Fino a cinque anni	Hasta cinco años	До п'яти років	Hingga lima tahun	حتى خمس سنوات	Jusqu'à 5 ans	Do pet godina
int84	Up to ten years	Kuni kümme aastat	五到十年	Até dez anos	До десяти лет	Bis zu zehn Jahre	10年以下	Fino a dieci anni	Hasta diez años	До десяти років	Hingga sepuluh tahun	حتى عشر سنوات	Jusqu'à 10 ans	Do deset godina
int85	More than ten years	Üle kümne aasta	超过十年	Mais de dez anos	Более десяти лет	Mehr als zehn Jahre	10年より長い	Più di dieci anni	Más de diez años	Понад десять років	Lebih dari sepuluh tahun	أكثر من عشر سنوات	Plus de 10 ans	Više od deset godina
dismiss	Close	Sulgege	关闭	Fechar	Закрыть	Schließen	閉じる	Chiudi	Cerrar	Закрити	Tutup	إغلاق	Fermer	Zatvorite
about	About the app	Loe lähemalt	关于应用	Sobre o aplicativo	О приложении	Über die App	アプリについて	Informazioni sull'app	Acerca de la app	Про цей застосунок	Tentang aplikasi	عن التطبيق	A propos de cette application	O aplikaciji
trait	Trait	Omadus	性格特质	Traço	Черта	Eigenschaft	特性	Tratto	Rasgo	Риса характеру	Karakteristik	السمة	Trait	Osobina
score	Score	Skoor	评分	Escore	Результат	Punktzahl	スコア	Punteggio	Puntuación	Рахунок	Skor	النتيجة	Score	Skor
resfb	Does it make sense?	Kas tundub loogiline?	您认为结果是否合理？	Faz sentido?	Кажется логичным?	Macht das Sinn?	ご納得いただけましたか？	Ha senso?	¿Tiene sentido?	Чи має це сенс?	Apakah hasilnya masuk akal?	هل هذا منطقي؟	Cela fait-il du sens?	Da li Vam ovo ima smisla?
